,durauto_part_number,photo_url
,DP-ABH-12,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015295/Air_Hose_3-in-1_eamnxl.jpg
,DP-ABH-15,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015342/Air_Hose_3-in-1_gcbogs.jpg
,DP-23K-4707,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015379/4707Q_py53bx.jpg
,DP-23K-4709,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015422/4709ES2_pqscwi.jpg
,DP-23K-4515,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015468/4515Q_exwbup.jpg
,DP-23K-4715,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015498/4715Q_ek8fne.jpg
,DP-23K-4711,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015528/4711Q_otiflm.jpg
,DP-23K-4719,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015570/4719ES2_pq3v3q.jpg
,DP-23K-4710,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015614/4710Q_ul8fuf.jpg
,DP-23K-4720,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015643/4720Q_braybg.jpg
,DP-23K-1443,https://res.cloudinary.com/ulor4ikf/image/upload/v1783015672/1443E_a0jxeh.jpg
,DP-SB3030SL,https://res.cloudinary.com/ulor4ikf/image/upload/v1783017825/BRAKE_CHAMBER_3030SL_1_j0kaji.png
,DP-SB3030SLX,https://res.cloudinary.com/ulor4ikf/image/upload/v1783017869/BRAKE_CHAMBER_3030SL_1_xfk1nr.png
,DP-SC20,
,DP-SC16,
,DP-806024,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018037/400-10140_2_rcfz6y.jpg
,DP-806026,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018068/400-10141_2_aklhxt.jpg
,DP-806022,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018104/IMG_20240923_144135_wrcugd.jpg
,DP-806019,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018152/IMG_20240811_093512_tmj9ba.jpg
,DP-65174,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018253/IMG_20240308_153121_czjsqv.jpg
,DP-65175,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018314/IMG_20240308_144726_dzlh6k.jpg
,DP-AS1140,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018364/IMG_20240320_125436_lx3db8.jpg
,DP-801073,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018402/IMG_20240308_153013_xms5t9.jpg
,DP-801074,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018435/IMG_20240710_091602_ev6ht6.jpg
,DP-44071,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018521/KN44071_m3wl80.jpg
,DP-44051,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018603/IMG_20250427_141843_a9wkjw.jpg
,DP-47001,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018777/KN47001-TM_vrrsdl.png
,DP-CR-FL-03,
,DP-CR-FL-04,
,DP-CR-KP-02,
,DP-CR-KP-03,
,DP-CR-VN-01,
,DP-340-4009,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018864/s_S_%C3%ADs_t%C3%AB%C3%A7_20260417114712_1408_2_y3ckio.png
,DP-343-4009,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018894/s_S_%C3%ADs_t%C3%AB%C3%A7_20260415154709_1369_2_ql0wka.jpg
,DP-340-4024,
,DP-343-4024,https://res.cloudinary.com/ulor4ikf/image/upload/v1783018977/s_S_%C3%ADs_t%C3%AB%C3%A7_20260417111055_1395_2_nigmm8.png